date,course,tees,rating,slope,par,duration,transport,score,fairways_hit,fairways,greens_in_reg,putts,nine_hole_round
6/17/2018,Mercer Oaks Golf Course (West),White,70.7,131,36,2:20,Cart,49,4,7,0,15,TRUE
6/22/2018,Eisenhower Park GC (White),White,71,124,36,2:24,Cart,50,0,7,1,20,TRUE
7/7/2018,Bethpage State Park Golf Course (Red),White,71.9,127,70,4:45,Cart,106,5,14,1,34,FALSE
9/23/2019,Skyway Golf Course at Lincoln Park West,White,68.2,118,36,2:06,Cart,44,2,4,2,16,TRUE
10/8/2019,Mountain View Golf Course,White,71.8,122,37,2:32,Cart,50,2,6,2,18,TRUE
6/6/2020,Ramblewood Country Club (Red),White,70.8,129,36,3:08,Cart,58,2,7,1,20,TRUE
6/25/2020,Newton Commonwealth Golf Course,Blue,67,119,70,4:36,Walk,101,4,12,5,41,FALSE
7/12/2020,Leo J Martin GC,Blue,69.2,116,36,2:30,Walk,52,2,7,1,20,TRUE
7/19/2020,Patriot Golf Course,Blue,68.6,128,35,2:06,Walk,50,2,7,0,16,TRUE
8/2/2020,Pine Meadows GC,Blue,67.0,105,35,2:05,Walk,47,1,6,0,17,TRUE
