id,hole,index,par,shots
1,1,15,4,t267.r42l.g15-4x3
1,2,1,5,t533.f283.f68.r20-6.g8-12x3
1,3,5,3,t164x2.r53-6.r3-12.g1-3
1,4,17,3,t110.r25-3.r14-6.g10-12
1,5,3,5,t455.r245l.r155l.r106-6.f10-4.g5-10
1,6,9,4,t267.s74lx3.r35-12.g30-12x2
1,7,11,3,t185.r18-11.r19-1.g15-6x2
1,8,7,5,t488x3.f291.r109r.r14-6.g8-1x2
1,9,13,3,t200.r21-8.g10-11
1,10,14,4,t276.r63l.r38-6.f14-6.g4-8
1,11,6,4,t292.r47l.r19-12.g12-5
1,12,12,3,t125.f27-7.f4-9.g2-6
1,13,16,4,t268.f74.g24-11x2
1,14,10,4,t214.f59.r20-7.g3-2
1,15,8,5,t415.f189.r60l.g15-2x2
1,16,18,3,t129.r22-9.g39-6x2
1,17,2,4,t370.r175lx2.r33-6.g15-6x2
1,18,4,4,t320.f83.f9-6.g2-6
2,1,3,4,t371x3.r144l.f5-9.g6-2
2,2,5,4,t286.f104.g17-10
2,3,1,4,t378.r162l.g24-4x3
2,4,13,3,t136.g16-8x3
2,5,15,4,t320.r154l.r32-7.g5-11
2,6,17,4,t282.f105.f23-12.g22-12x2
2,7,9,5,t449x2.y274l.f274.f128.g12-9x2
2,8,7,4,t285.f78.r12-11.g9-11x2
2,9,11,3,t162x3.g13-11x2
2,10,2,5,t532.r366lx3.f177.f5-9.g5-3x2
2,11,6,4,t318x2.r155rx2.r75l.g9-8x2
2,12,4,4,t402.r240lx2.f174.f10-9.g7-5x2
2,13,12,3,t147.g18-2x3
2,14,16,4,t338.f129.g15-3x2
2,15,18,4,t300.y100r.f74.f22-6.r8-12.g2-3
2,16,14,4,t303.f114.f13-12.r6-12.g4-2
2,17,8,4,t285.r109r.f22-7.g5-9x2
2,18,10,3,t174.f15-5.g4-8x2
3,1,12,5,t413.f196.g40-12.g9-5x2
3,2,18,4,t258.r36r.g7-4x2
3,3,2,5,t489.r250r.f160.f23-6.g19-12x2
3,4,10,4,t328.f91.g25-11x2
3,5,14,3,t176.s40-7x2.g15-12x2
3,6,8,4,t342.r71l.g12-10x2
3,7,16,3,t154.f18-3.g6-7x2
3,8,4,4,t406.r299l.f169.r23-10.g13-12x2
3,9,6,4,t415.f156.r22-3.g13-12
4,1,5,4,t365.r135lx2.r88r.g21-10x2
4,2,13,4,t215.f55.r13-12.g9-2
4,3,9,4,t342.r80l.s20-6.g15-4x2
4,4,1,4,t376.r176l.g24-12x4
4,5,7,5,t380.y128r.f98.f20-5x3.g8-6x2
4,6,11,4,t296.f119.r28-6.f5-5.g9-12x2
4,7,15,3,t153.r10-10.g9-12x2
4,8,17,3,t130.r24-9.r7-12.g3-6
4,9,3,5,t445.r221lx2.r51l.g9-4x2
4,10,12,4,t305.r44l.r11-12.g10-5x2
4,11,10,4,t278.r133l.g25-7x2
4,12,4,5,t516.r306l.y166r.f72.g15-3x3
4,13,16,3,t154.r8-3.g4-3x3
4,14,8,4,t341.y88l.f22.g3-9
4,15,18,3,t121x3.f25-5.f5-5.g3-10
4,16,2,4,t411.r178r.r28-4.g11-7x2
4,17,14,4,t331.r80r.g3-12
4,18,6,4,t352.r144l.g13-6x2
5,1,9,4,t330.f64.g8-12x2
5,2,3,5,t451.f261.f54.f13-2.g9-8x2
5,3,17,3,t171.g24-5x3
5,4,7,5,t410.f156.g24-12x2
5,5,15,3,t134.f13-3.g4-10
5,6,13,4,t302.f102.g16-6x2
5,7,1,4,t430.f166.f15-9.g9-4x2
5,8,11,4,t275.f95.r9-2.r9-11.g12-1x2
5,9,5,4,t405.f144.r8-12x2.g4-3
5,10,2,5,t492.f273.f72.g7-3x2
5,11,18,3,t154.f13-7.g10-5x2
5,12,12,4,t352.f156.f20-7.g4-12
5,13,14,4,t316.f94.g15-2x2
5,14,6,4,t356.f114.g3-9
5,15,16,3,t191.g45-12x2
5,16,8,4,t331.f113.g16-5x2
5,17,10,4,t315.s65-r.s19-4.g11-9x3
5,18,4,5,t492.f311.f154.r22.g6-3x2
6,1,8,5,t473.s274r.f189.r18-10.g9-6
6,2,14,4,t267.s66r.f33-6.r9-12.g9-6x2
6,3,16,3,t105.f19-5.g5-9x2
