id,hole,index,par,shots
15,1,15,4,t307.f74.g10-9x2
15,2,7,4,t323.f80.g13-4x2
15,3,17,3,t125.f8-6.g6-6x2
15,4,13,4,t286.r109l.s20-4.g12-10x2
15,5,11,3,t180.s18-8.r15-2.g1-7
15,6,1,5,t393.y180l.r25-3.s25-12x2-f6-12.f4-10.g2-3
15,7,5,4,t348x3.f164.f12-7.g8-2x2
15,8,9,4,t339.r123r.g22-1x3
15,9,3,4,t340.r159r.f8-5.g3-2x2
16,1,15,4,t300x3.r53l.g5-9x2
16,2,5,4,t320.r96r.r8-5.g18-12x2
16,3,3,4,t332.r115r.y89r.r26-7.g11-3x2
16,4,15,3,t130.f9-1.g14-2x2
16,5,11,4,t240.y34-4.g24-5x3
16,6,1,4,t362x2.r104r.g11-4x3
16,7,17,3,t114x3.r11-11.g2-2
16,8,9,4,t286.f97.s6-3x2.g15-12x2
16,9,7,3,t138.y25x5
