date,course,tees,rating,slope,par,duration,transport,score,fairways_hit,fairways,greens_in_reg,putts,nine_hole_round,golfer
6/17/2018,Mercer Oaks Golf Course (West),White,70.7,131,36,2:20,Cart,49,4,7,0,15,TRUE,Will
6/22/2018,Eisenhower Park GC (White),White,71,124,36,2:24,Cart,50,0,7,1,20,TRUE,Will
7/7/2018,Bethpage State Park Golf Course (Red),White,71.9,127,70,4:45,Cart,106,5,14,1,34,FALSE,Will
9/23/2019,Skyway Golf Course at Lincoln Park West,White,68.2,118,36,2:06,Cart,44,2,4,2,16,TRUE,Will
10/8/2019,Mountain View Golf Course,White,71.8,122,37,2:32,Cart,50,2,6,2,18,TRUE,Will
6/6/2020,Ramblewood Country Club (Red),White,70.8,129,36,3:08,Cart,58,2,7,1,20,TRUE,Will
6/25/2020,Newton Commonwealth Golf Course,Blue,67,119,70,4:36,Walk,101,4,12,5,41,FALSE,Will
7/12/2020,Leo J Martin GC,Blue,69.2,116,36,2:30,Walk,52,2,7,1,20,TRUE,Will
7/19/2020,Patriot Golf Course,Blue,68.6,128,35,2:06,Walk,50,2,7,0,16,TRUE,Will
8/2/2020,Pine Meadows GC,Blue,67.0,105,35,2:05,Walk,47,1,6,0,17,TRUE,Will
8/22/2020,Leo J Martin GC,Blue,34.6,116,36,2:15,Walk,53,3,7,1,19,TRUE,Will
9/18/2020,Newton Commonwealth Golf Course,Blue,67,119,70,4:35,Walk,103,6,12,3,42,FALSE,Will
9/26/2020,Quail Ridge Country Club,White-Blue,68.6,128,70,4:47,Walk,106,6,14,3,40,FALSE,Will
10/2/2020,Westborough CC,White,34.3,119,36,2:30,Walk,51,4,7,3,22,TRUE,Will
10/10/2020,Norwood CC,Gold,67.1,113,71,4:55,Walk,104,4,14,5,38,FALSE,Will
10/18/2020,Butter Brook GC,White,68.6,120,72,4:41, Walk,105,5,13,2,39,FALSE,Will
10/24/2020,Sassamon Trace GC,White,30.7,111,32,2:25,Walk,50,2,4,1,24,TRUE,Will
11/8/2020,Sassamon Trace GC,Blue,31.5,114,32,2:15,Walk,47,0,4,1,18,TRUE,Will
11/14/2020,Leo J Martin GC,White,68.1,113,72,5:05,Walk,106,6,13,2,34,FALSE,Will
11/21/2020,Maynard GC,White,68.2,123,35,2:25,Walk,47,3,7,3,20,TRUE,Will
11/28/2020,Unicorn GC,Back,70.4,122,35,2:15,Walk,51,2,7,0,18,TRUE,Will
